id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34963614,Family Home in Madison. 15 Mins from Nashville,262961559,Sebastian,,District 10,36.28198,-86.70562,Entire home/apt,149,1,16,2019-09-01,5.85,2,160
34963906,Bright lights!  City side nights!,239559046,Brent,,District 19,36.15169,-86.72218,Entire home/apt,59,1,13,2019-09-06,5.49,2,160
34966681,Germantown Gem Two Miles to Broadway/Downtown Nashville,263448485,Roxanne,,District 19,36.18293,-86.79345,Entire home/apt,249,2,11,2019-09-09,3.14,1,337
34968665,Hondo Loft - walk to broadway in minutes,1567559,Ryan,,District 19,36.15528,-86.77586,Entire home/apt,325,1,20,2019-09-16,6.00,1,200
34974555,My Village Home,263505914,Susan,,District 11,36.25671,-86.6472,Private room,59,1,8,2019-08-18,2.29,1,0
34977490,The Russell (2:5) Superhost- Opening Price Special,115218273,Anchor Rentals,,District 6,36.1737,-86.75736,Hotel room,230,1,3,2019-06-23,0.87,26,349
34979607,Warm Contemporary East Nashville Home,61028503,Michael,,District 5,36.1896,-86.75463,Entire home/apt,91,1,21,2019-09-19,9.00,1,4
34980522,Eastland Park Shabby Chic Retreat,24951878,Kaycee,,District 6,36.19199,-86.73941,Entire home/apt,250,2,1,2019-07-14,0.43,2,8
34981279,Eastland Park Shabby Chic Retreat,24951878,Kaycee,,District 7,36.19338,-86.73954,Private room,90,2,6,2019-08-13,1.86,2,6
34997063,BRAND NEW NASHVILLE LUXURY ROOFTOP DECK,115505661,Chris,,District 21,36.15642,-86.8212,Entire home/apt,299,2,16,2019-09-14,4.10,27,344
34997148,6000ft Award Winner - 12 Beds! Almost Downtown!,24758299,Gerry,,District 17,36.13213,-86.77722,Entire home/apt,700,3,4,2019-08-26,2.50,3,328
34997470,"Rooftop Townhome Walk to Music Row, Gulch, Belmont",122897400,Music City Vacation Homes,,District 17,36.13591,-86.78868,Entire home/apt,500,2,6,2019-09-15,2.37,17,342
34997605,Southern Stunners! Multiple Homes Near Downtown!,24758299,Gerry,,District 17,36.13239,-86.77984,Entire home/apt,650,3,3,2019-09-08,1.38,3,330
34998235,NASHVILLE ROOFTOP ● BELMONT ● GULCH ● MUSIC ROW,122897400,Music City Vacation Homes,,District 17,36.13728,-86.78867,Entire home/apt,450,2,3,2019-08-18,1.18,17,342
